word,part_of_speech,definition
coddle,verb,verb: treat gently; indulge excessively; pamper; mollycoddle
coerced,verb,"verb: to cause to do through pressure or necessity, by physical, moral or intellectual means"
coercion,noun,noun: use of force to get someone to object; compelling
coercive,adjective,adjective: serving or intended to coerce
coeval,adjective,adjective: living at the same time as; existing during the same period of time; contemporary; of the same age
coffer,noun,noun: an ornamental sunken panel in a ceiling or dome; a chest especially for storing valuables
cogent,adjective,"adjective: clear, logical, and convincing in argument or explanation"
cognizant,adjective,adjective: aware; knowledgeable; having notice or understanding of something
coherence,noun,noun: the state of cohering or sticking together; logical and orderly and consistent relation of parts
cohesive,adjective,adjective: causing cohesion; cohering or tending to cohere; well integrated
cohort,noun,noun: a group of companions or supporters; a band of people with a shared characteristic
coin,verb,verb: make coins; invent or fabricate (a word or phrase)
collaborate,noun,noun: work together; cooperate treasonably with the enemy
collude,noun,noun: act in unison or agreement and in secret towards a deceitful or illegal purpose
collusion,noun,noun: conspiring in a fraudulent scheme to cheat or deceive others
color,adjective; noun,adjective; noun: having or capable of producing colors; a visual attribute of things that results from the light they emit or transmit or reflect
colossal,adjective,"adjective: extremely large in size, degree, or importance"
comely,adverb; adjective,adverb; adjective: attractive; agreeable; having a pleasing appearance
comity,noun,noun: courtesy; civility
commence,verb,"verb: take the first step or steps in carrying out an action; set in motion, cause to start"
commendable,adjective,adjective: worthy of high praise; in an admirable manner
commensurate,noun,noun: equal in extent; of the same size
commiserate,verb,verb: feel or express pity or sympathy for
companionable,adjective,adjective: suggestive of companionship
compelling,adjective,adjective: overpowering; irresistible in effect; holding one's attention; that compels one to do something
compendium,noun,"noun: brief, comprehensive summary"
competent,adjective,"adjective: properly or sufficiently qualified or capable or efficient; adequate, but not outstanding or exceptional"
complacent,adjective,adjective: contented to a fault with oneself or one's actions
complaisance,noun,noun: a disposition or tendency to yield to the will of others
complaisant,adjective,adjective: trying to please; obliging; willing to please others
complement,adjective; verb,adjective; verb: complete; consummate; make perfect
complementary,adjective,adjective: serving to complete something
compliant,noun,"noun: readily acting in accordance with a rule, order, or the wishes or others; yielding; comforming to requirements"
complicit,noun,"noun: involved with others in wrongdoing, often indirectly or silently"
comply,noun; adverb,"noun; adverb: act in accordance with someone's s rules, commands, or wishes"
composure,noun,noun: mental calmness
compound,verb,verb: combine; produce by combining; increase; make worse by adding to or increasing
comprehensive,adjective,adjective: broad; including a lot or everything; thorough; inclusive
compromise,verb; noun,"verb; noun: adjust or settle by making mutual concessions; endanger the interests or reputation of; put into danger, disrepute, or a dishonorable position"
compunction,noun,noun: remorse; strong uneasiness caused by guilt
concede,verb,verb: admit; acknowledge as being true (often reluctantly); yield; grant
concession,noun,"noun: an act of yielding; conceding; something conceded; point, right, etc. given unwillingly"
conciliate,verb,verb: cause to be more favorably inclined; gain the good will of; come to terms
conciliatory,verb,verb: reconciling; soothing; soothe
concoct,verb,verb: prepare by mixing or combining; make up in concert; devise (something false) so as to deceive
concomitant,adjective,adjective: that which accompanies
concord,noun,noun: harmony; accord
concupiscence,noun,noun: a desire for sexual intimacy
concur,noun,noun: agree; coincide; happen at the same time
condemn,verb,verb: express strong disapproval of; declare or judge unfit for use or habitation
condign,adjective,adjective: adequate; (of punishment) severe and well deserved
condolence,noun,noun: an expression of sympathy with another's s grief
condone,verb,verb: overlook; forgive; give tacit approval; excuse
condones,verb,"verb: excuse, overlook, or make allowances for; be lenient with"
conducive,adjective,adjective: helpful; contributive
confer,noun,noun: have a conference in order to talk something over; present
conferred,adjective,adjective: have a conference in order to talk something over; present
confiscate,verb,verb: seize; take possession of (private property) by official order (usu. as a punishment); commandeer
conflagration,noun,noun: great fire
conflate,verb,verb: mix together different elements
confound,verb,verb: confuse; puzzle
congenial,adjective,adjective: pleasant; friendly; in agreement with one's tastes and nature
conglomerate,noun,noun: corporation made up of several different companies in diversified fields; mass of various material gathered together; rock consisting of small stones held together by clay
conjectural,adjective,adjective: based primarily on surmise rather than adequate evidence
conniving,adjective,adjective: acting together in secret toward a fraudulent or illegal end; acting with a specific goal
connoisseur,noun,"noun: person competent to act as a judge of art, etc. (whose judgments are respected); a lover of an art"
connote,verb,verb: express or state indirectly; involve as a necessary condition of consequence; as in logic
conscientious,adjective,adjective: scrupulous; through and careful
consecrate,verb,verb: dedicate; sanctify; declare as sacred
consensus,noun,noun: general agreement; opinion reached by a group
consequential,adjective,adjective: self-important; significant; consequent; following as a result
console,verb,verb: lessen sadness or disappointment; give comfort; allay the sorrow of
consolidate,verb,verb: unite into one; make firm or secure; strengthen
consonant,adjective,adjective: harmonious; in agreement
conspicuous,adjective,adjective: obvious to the eye or mind; without any attempt at concealment; completely obvious
conspire,verb,verb: take part in a conspiracy; (of events) work together; combine
consternation,noun,noun: great shock; dismay
constituent,adjective,adjective: supporter; voter; member of a constituency; component
constraint,noun,noun: restraint; compulsion; repression of feelings; reticence
constrict,verb,verb: squeeze or press together; become tight or as if tight
construe,verb,verb: explain; interpret
consummate,adjective,adjective: complete
consumption,noun,noun: the act or process of using up resources; the eating or drinking of food; an old term for tuberculosis
contemn,verb,verb: look down on with disdain
contempt,noun,noun: scorn; disdain
contemptuous,adjective,adjective: expressing extreme contempt
contend,noun,noun: struggle; compete; assert earnestly; state strongly
contentious,adjective,adjective: quarrelsome; controversial; likely to cause arguments
contextualize,verb,verb: place something within its surrounding circumstances to clarify its meaning
contiguous,adjective,adjective: adjacent to; touching upon
contingent,adjective,adjective: dependent on something uncertain or in the future; conditional; happening by chance; accidental
contraries,noun,noun: a relation of direct opposition; exact opposition
contravene,verb,"verb: contradict; oppose; violate (a rule, law, or custom)"
contrite,noun,noun: penitent; repentant
contrition,noun,noun: sorrow for sin arising from fear of damnation
contrive,verb,verb: invent or fabricate in a clever way (by improvisation); manage
contumacious,adjective,adjective: stubborn and disobedient; resisting authority (esp. disobedient to an order made by a court)
